ID,Result,Score,Moves,Completed
0,Lost,384,217,1
1,Won,1065,243,8
2,Won,591,717,8
3,Lost,583,119,2
4,Lost,490,111,1
5,Won,1079,229,8
6,Lost,577,125,2
7,Won,105,1203,8
8,Won,1077,231,8
9,Lost,381,119,0
10,Won,1071,237,8
11,Won,489,819,8
12,Lost,551,151,2
13,Won,997,311,8
14,Lost,648,155,3
15,Won,425,883,8
16,Won,499,809,8
17,Lost,486,115,1
18,Won,1049,259,8
19,Won,623,685,8
20,Won,1061,247,8
21,Won,-2101,3409,8
22,Won,1067,241,8
23,Won,1095,213,8
24,Lost,502,99,1
25,Lost,583,119,2
26,Lost,478,123,1
27,Lost,534,67,1
28,Won,1079,229,8
29,Lost,419,81,0
30,Won,649,659,8
31,Lost,478,123,1
32,Won,981,327,8
33,Won,-515,1823,8
34,Lost,474,127,1
35,Lost,622,181,3
36,Lost,589,113,2
37,Lost,417,83,0
38,Won,597,711,8
39,Won,1057,251,8
40,Lost,642,161,3
41,Won,351,957,8
42,Lost,421,79,0
43,Lost,532,271,3
44,Lost,468,133,1
45,Won,999,309,8
46,Lost,458,143,1
47,Lost,464,137,1
48,Lost,456,145,1
49,Won,1003,305,8
50,Won,385,923,8
51,Lost,549,153,2
52,Lost,426,175,1
53,Lost,577,125,2
54,Won,1031,277,8
55,Won,175,1133,8
56,Won,1053,255,8
57,Won,1067,241,8
58,Won,647,661,8
59,Lost,448,153,1
60,Lost,440,161,1
61,Won,923,385,8
62,Won,1059,249,8
63,Lost,405,95,0
64,Lost,581,121,2
65,Won,1063,245,8
66,Lost,551,151,2
67,Won,-761,2069,8
68,Lost,567,135,2
69,Lost,466,135,1
70,Lost,585,117,2
71,Lost,468,133,1
72,Won,903,405,8
73,Lost,425,75,0
74,Lost,666,137,3
75,Won,19,1289,8
76,Won,695,613,8
77,Won,1083,225,8
78,Lost,505,197,2
79,Won,1051,257,8
80,Lost,549,153,2
81,Lost,492,109,1
82,Won,1065,243,8
83,Lost,731,173,4
84,Lost,502,99,1
85,Won,1081,227,8
86,Lost,413,87,0
87,Won,999,309,8
88,Won,1069,239,8
89,Won,-155,1463,8
90,Lost,581,121,2
91,Won,983,325,8
92,Won,843,465,8
93,Won,723,585,8
94,Lost,581,121,2
95,Lost,514,87,1
96,Lost,551,151,2
97,Lost,502,99,1
98,Lost,452,149,1
99,Won,1061,247,8
